Handle	Title	Body (HTML)	Vendor	Product Category	Type	Tags	Published	Option1 Name	Option1 Value	Option1 Linked To	Option2 Name	Option2 Value	Option2 Linked To	Option3 Name	Option3 Value	Option3 Linked To	Variant SKU	Variant Grams	Variant Inventory Tracker	Variant Inventory Qty	Variant Inventory Policy	Variant Fulfillment Service	Variant Price	Variant Compare At Price	Variant Requires Shipping	Variant Taxable	Unit Price Total Measure	Unit Price Total Measure Unit	Unit Price Base Measure	Unit Price Base Measure Unit	Variant Barcode	Image Src	Image Position
pink-chalk-bowl-with-premium-floral-arrangement-on-golden-metal-stand	Pink Chalk Bowl with Premium Floral Arrangement	"<h2>...</h2>"	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Flowering Plants			TRUE	Color	pink	product.metafields.shopify.color-pattern								6000	shopify	20	deny	manual	6500		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image0_9.jpg?v=1763756297	1
tall-artificial-furry-plant-in-woven-basket-4-5ft	Tall Artificial Furry Plant	"<h3>...</h3>"	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Non-Flowering Plants			TRUE	Title	Default Title									0	shopify	50	deny	manual	8500		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image8_3.jpg?v=1763417864	1
artificial-lily-flower-arrangement-in-woven-basket-1-ft-height	Artificial Lily Flower Arrangement	"<h3>...</h3>"	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Flowering Plants			TRUE	Color	white	product.metafields.shopify.color-pattern								0	shopify	20	deny	manual	3000		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image19.jpg?v=1763417549	1
artificial-aloe-vera-plant-in-woven-basket-3ft-height	Artificial Aloe Vera Plant	"<h3>...</h3>"	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Non-Flowering Plants			TRUE	Title	Default Title									1000	shopify	20	deny	manual	4000	6000	TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image27.jpg?v=1763416902	1
realistic-pink-peony-buds-artificial-dried-look-bunch-10-stems	Realistic Pink Peony Buds	"<h3>...</h3>"	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Flowering Plants			TRUE	Color	pink	product.metafields.shopify.color-pattern								500	shopify	20	deny	manual	2200		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image14.jpg?v=1763416374	1
black-10-piece-high-quality-rubber-tulip-flower-bunch-premium-vase-backdrop-decor	Black 10 Piece Tulip Bunch	"<h3>...</h3>"	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Flowering Plants			TRUE	Quantity	5 flowers									500	shopify	20	deny	manual	2000		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image12_1.jpg?v=1763416142	1
10-piece-high-quality-rubber-tulip-flower-bunch-premium-vase-backdrop-decor	10 Piece Tulip Bunch	"<h3>...</h3>"	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Flowering Plants			TRUE	Quantity	5									500	shopify	0	deny	manual	1200		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image10.jpg?v=1763415888	1
12-inch-chalk-donut-vase-with-premium-filling	12 Inch Donut Vase	"<h3>...</h3>"	Cosmo Decorpk	Home & Garden > Decor > Vases		vase	TRUE	Vase Color	white	product.metafields.shopify.color-pattern	Filling Color	Black						1000	shopify	18	deny	manual	3500		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image25.jpg?v=1763415488	1
matte-donut-vase-8-inch-with-premium-floral-filling	Matte Donut Vase 8 Inch	"<h3>...</h3>"	Cosmo Decorpk	Home & Garden > Decor > Vases			TRUE	Vase Color	gray	product.metafields.shopify.color-pattern	Filling color	pink						0	shopify	20	deny	manual	1500		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image20.jpg?v=1763415139	1
black-shiny-ceramic-vase-with-white-lotus-lily-floral-arrangement	Black Shiny Ceramic Vase	"<h3>...</h3>"	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Flowering Plants			TRUE	Size	3 ft									3000	shopify	20	deny	manual	3800		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image32.jpg?v=1763414838	1
Handle	Title	Body (HTML)	Vendor	Product Category	Type	Tags	Published	Option1 Name	Option1 Value	Option1 Linked To	Option2 Name	Option2 Value	Option2 Linked To	Option3 Name	Option3 Value	Option3 Linked To	Variant SKU	Variant Grams	Variant Inventory Tracker	Variant Inventory Qty	Variant Inventory Policy	Variant Fulfillment Service	Variant Price	Variant Compare At Price	Variant Requires Shipping	Variant Taxable	Unit Price Total Measure	Unit Price Total Measure Unit	Unit Price Base Measure	Unit Price Base Measure Unit	Variant Barcode	Image Src	Image Position
black-gold-minaret-style-bakhoor-incense-burne	Black & Gold Minaret Style Bakhoor / Incense Burne	<p>Enhance your home with the rich aroma of bakhoor and the elegance of Islamic art with our <strong data-start="397" data-end="461">Black &amp; Gold Minaret Style Incense Bakhoor Burner (Mabkhara)</strong>. Inspired by traditional <strong data-start="487" data-end="522">mosque and minaret architecture</strong></p>	Cosmo Decorpk	Home & Garden > Decor > Home Fragrance Accessories > Incense Holders			TRUE	Title	Default Title									1000	shopify	20	deny	manual	2500	4800	TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/photo-output_6_6.jpg?v=1770109556	1
ramadan-moon-candle-holder-islamic-table-decor-resin-incense-burner	Ramadan Moon Candle Holder  Islamic Table Decor Resin Incense Burner	"<p>Ramadan Kareem Moon Shape Candle Holder Resin Incense BurnerÂ  Islamic Tabletop Home Decor Ornament</p>
<p data-start=""865"" data-end=""1142"">This <strong data-start=""870"" data-end=""900"">Ramadan Moon Candle Holder</strong> can be used as a <strong data-start=""918"" data-end=""976"">candle stand, incense burner, or aromatherapy ornament</strong>, creating a calming and welcoming atmosphere in your living room, dining table, or office. It is also a perfect <strong data-start=""1089"" data-end=""1105"">Ramadan gift</strong> for family, friends, and loved ones.</p>
<p data-start=""1144"" data-end=""1328"">Whether you are decorating your home for <strong data-start=""1185"" data-end=""1227"">Ramadan Kareem, Eid, or Islamic events</strong>, this elegant tabletop decor piece will enhance your interior with a luxurious and meaningful touch.</p>"	Cosmo Decorpk	Home & Garden > Decor > Home Fragrance Accessories > Incense Holders			TRUE	Material	resin	product.metafields.shopify.material	size	8 inch height						1000	shopify	20	deny	manual	2500	4850	TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/photo-output_5_9.jpg?v=1770108395	1
ramadan-moon-candle-holder-islamic-table-decor-resin-incense-burner																																https://cdn.shopify.com/s/files/1/0899/9301/9639/files/photo-output_3_9.jpg?v=1770108394	2
ramadan-moon-candle-holder-islamic-table-decor-resin-incense-burner																																https://cdn.shopify.com/s/files/1/0899/9301/9639/files/photo-output_4_8.jpg?v=1770108394	3
white-orchid-artificial-plant-in-modern-diamond-planter	White Orchid Artificial Plant in Modern Diamond planter	"<h3 data-start=""1061"" data-end=""1084""><strong data-start=""1065"" data-end=""1082"">Key Features:</strong></h3>
<p data-start=""1085"" data-end=""1246"">âœ” Realistic white orchid flowers<br data-start=""1117"" data-end=""1120"">âœ” Premium artificial foliage<br data-start=""1148"" data-end=""1151"">âœ” Modern geometric planter<br data-start=""1177"" data-end=""1180"">âœ” Maintenance-free dÃ©cor<br data-start=""1204"" data-end=""1207"">âœ” Long-lasting &amp; durable</p>"	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Flowering Plants			TRUE	Color	white	product.metafields.shopify.color-pattern	Height	3.5 ft						3000	shopify	30	deny	manual	3500		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image0_4.png?v=1769254568	1
white-orchid-artificial-plant-in-modern-diamond-planter									black			3.5 ft						3000	shopify	30	deny	manual	3500		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image1_3.png?v=1769254567	2
3-piece-golden-candle-stand-set-with-plastic-led-spiral-candles	3 Piece Golden Candle Stand Set with Plastic LED Spiral Candles	"<ul>
<li data-start=""255"" data-end=""304"">
<p data-start=""257"" data-end=""304""><strong data-start=""257"" data-end=""274"">Product Type:</strong> Decorative Candle Stand Set</p>
</li>
<li data-start=""305"" data-end=""368"">
<p data-start=""307"" data-end=""368""><strong data-start=""307"" data-end=""324"">Set Includes:</strong> <strong data-start=""325"" data-end=""366"">3 Candle Stands + Plastic LED Candles</strong></p>
</li>
<li data-start=""369"" data-end=""432"">
<p data-start=""371"" data-end=""432""><strong data-start=""371"" data-end=""387"">Candle Type:</strong> <strong data-start=""388"" data-end=""430"">Plastic LED candles (flameless &amp; safe)</strong></p>
</li>
<li data-start=""433"" data-end=""505"">
<p data-start=""435"" data-end=""505""><strong data-start=""435"" data-end=""446"">Design:</strong> Elegant <strong data-start=""455"" data-end=""477"">spiral LED candles</strong> for realistic candle look</p>
</li>
<li data-start=""506"" data-end=""557"">
<p data-start=""508"" data-end=""557""><strong data-start=""508"" data-end=""529"">Material (Stand):</strong> Premium quality <strong data-start=""546"" data-end=""555"">metal</strong></p>
</li>
</ul>"	Cosmo Decorpk	Home & Garden > Decor > Home Fragrance Accessories > Candle Holders			TRUE	candle	With led spiral candle									0	shopify	20	deny	manual	2800		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/ChatGPT_Image_Jan_21_2026_05_38_35_PM.png?v=1768999136	1
3-piece-golden-candle-stand-set-with-plastic-led-spiral-candles									without led spiral candle									0	shopify	20	deny	manual	1800		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/ChatGPTImageJan21_2026_05_34_24PM.png?v=1768998940	2
golden-bicycle-planter-stand-with-artificial-flowers	Golden Bicycle Planter Stand with Artificial Flowers	"<h3 data-start=""83"" data-end=""109""><strong data-start=""89"" data-end=""109"">Product Features</strong></h3>
<ul data-start=""110"" data-end=""766"">
<li data-start=""110"" data-end=""160"">
<p data-start=""112"" data-end=""160""><strong data-start=""112"" data-end=""129"">Product Type:</strong> Luxury Bicycle Planter Stand</p>
</li>
<li data-start=""161"" data-end=""227"">
<p data-start=""163"" data-end=""227""><strong data-start=""163"" data-end=""176"">Material:</strong> Premium quality <strong data-start=""193"" data-end=""202"">metal</strong> with <strong data-start=""208"" data-end=""225"">golden finish</strong></p>
</li>
<li data-start=""228"" data-end=""287"">
<p data-start=""230"" data-end=""287""><strong data-start=""230"" data-end=""241"">Height:</strong> <strong data-start=""242"" data-end=""254"">3.5 feet</strong> (including flower arrangement)</p>
</li>
<li data-start=""288"" data-end=""360"">
<p data-start=""290"" data-end=""360""><strong data-start=""290"" data-end=""301"">Design:</strong> Elegant <strong data-start=""310"" data-end=""333"">bicycle/cycle style</strong> stand with dual planters</p>
</li>
<li data-start=""361"" data-end=""433"">
<p data-start=""363"" data-end=""433""><strong data-start=""363"" data-end=""375"">Flowers:</strong> Comes with <strong data-start=""387"" data-end=""431"">beautiful artificial flower arrangements</strong></p>
</li>
<li data-start=""434"" data-end=""498"">
<p data-start=""436"" data-end=""498""><strong data-start=""436"" data-end=""447"">Finish:</strong> Smooth, rust-resistant <strong data-start=""471"" data-end=""496"">metallic gold coating</strong></p>
</li>
<li data-start=""499"" data-end=""588"">
<p data-start=""501"" data-end=""588""><strong data-start=""501"" data-end=""511"">Usage:</strong> Ideal for <strong data-start=""522"" data-end=""586"">living room, lounge, balcony, porch, garden &amp; entryway</strong></p>
</li>
</ul>"	Cosmo Decorpk	Home & Garden > Lawn & Garden > Gardening > Pots & Planters > Planters			TRUE	Size	4 FT height									2000	shopify	25	deny	manual	5200		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/ChatGPTImageJan21_2026_05_27_16PM.png?v=1768998467	1
handmade-wooden-folding-room-divider-3-panel	Handmade Wooden Folding Room Divider (3 Panel)	"<p data-start=""297"" data-end=""536""><strong data-start=""307"" data-end=""348"">handmade, movable wooden room divider</strong> designed to be used both as a <strong data-start=""379"" data-end=""398"">space partition</strong> and as a <strong data-start=""408"" data-end=""428"">decorative piece</strong>. It has a simple folding structure, so it can be placed, moved, or folded according to your space and need.</p>
<p data-start=""538"" data-end=""733"">The divider is made from <strong data-start=""563"" data-end=""577"">solid wood</strong> and finished with <strong data-start=""596"" data-end=""620"">hand-painted artwork</strong>. Because it is handmade, slight variations in paint and texture are natural and part of the productâ€™s character.</p>
<p data-start=""538"" data-end=""733"">Â </p>
<h2 data-start=""740"" data-end=""758"">Product Details</h2>
<ul data-start=""759"" data-end=""930"">
<li data-start=""759"" data-end=""785"">
<p data-start=""761"" data-end=""785"">3-panel folding design</p>
</li>
<li data-start=""786"" data-end=""808"">
<p data-start=""788"" data-end=""808"">Handmade from wood</p>
</li>
<li data-start=""809"" data-end=""839"">
<p data-start=""811"" data-end=""839"">Fully movable and foldable</p>
</li>
<li data-start=""840"" data-end=""884"">
<p data-start=""842"" data-end=""884"">Can be used as a room partition or dÃ©cor</p>
</li>
<li data-start=""885"" data-end=""930"">
<p data-start=""887"" data-end=""930"">Stands independently without wall support</p>
</li>
</ul>
<h2 data-start=""937"" data-end=""957"">Size &amp; Dimensions</h2>
<ul data-start=""958"" data-end=""1062"">
<li data-start=""958"" data-end=""980"">
<p data-start=""960"" data-end=""980"">Height: <strong data-start=""968"" data-end=""978"">5 feet</strong></p>
</li>
<li data-start=""981"" data-end=""1018"">
<p data-start=""983"" data-end=""1018"">Width of each panel: <strong data-start=""1004"" data-end=""1016"">1.5 feet</strong></p>
</li>
<li data-start=""1019"" data-end=""1062"">
<p data-start=""1021"" data-end=""1062"">Total width when fully opened: <strong data-start=""1052"" data-end=""1062"">4 feet</strong></p>
</li>
</ul>
<p>Â </p>
<h2 data-start=""1069"" data-end=""1089"">Material &amp; Finish</h2>
<ul data-start=""1090"" data-end=""1224"">
<li data-start=""1090"" data-end=""1112"">
<p data-start=""1092"" data-end=""1112"">Material: <strong data-start=""1102"" data-end=""1110"">Wood</strong></p>
</li>
<li data-start=""1113"" data-end=""1165"">
<p data-start=""1115"" data-end=""1165"">Finish: Hand-painted with a smooth matte surface</p>
</li>
<li data-start=""1166"" data-end=""1224"">
<p data-start=""1168"" data-end=""1224"">Each piece is handmade, so minor differences may occur</p>
<h2 data-start=""1231"" data-end=""1254"">Where It Can Be Used</h2>
<ul data-start=""1255"" data-end=""1418"">
<li data-start=""1255"" data-end=""1288"">
<p data-start=""1257"" data-end=""1288"">Home living rooms and lobbies</p>
</li>
<li data-start=""1289"" data-end=""1322"">
<p data-start=""1291"" data-end=""1322"">Bedrooms for space separation</p>
</li>
<li data-start=""1323"" data-end=""1349"">
<p data-start=""1325"" data-end=""1349"">Offices and workspaces</p>
</li>
<li data-start=""1350"" data-end=""1384"">
<p data-start=""1352"" data-end=""1384"">Salons, studios, and boutiques</p>
</li>
<li data-start=""1385"" data-end=""1418"">
<p data-start=""1387"" data-end=""1418"">Event setups or display areas</p>
</li>
</ul>
</li>
</ul>
<h2 data-start=""1425"" data-end=""1449"">What You Will Receive</h2>
<ul data-start=""1450"" data-end=""1495"">
<li data-start=""1450"" data-end=""1495"">
<p data-start=""1452"" data-end=""1495"">One <strong data-start=""1456"" data-end=""1495"">3-panel wooden folding room divider</strong></p>
</li>
</ul>
<p>Â </p>
<h2 data-start=""1502"" data-end=""1520"">Important Notes</h2>
<ul data-start=""1521"" data-end=""1643"">
<li data-start=""1521"" data-end=""1555"">
<p data-start=""1523"" data-end=""1555"">This is a <strong data-start=""1533"" data-end=""1553"">handmade product</strong></p>
</li>
<li data-start=""1556"" data-end=""1624"">
<p data-start=""1558"" data-end=""1624"">Color and artwork may vary slightly due to lighting and handwork</p>
</li>
<li data-start=""1625"" data-end=""1643"">
<p data-start=""1627"" data-end=""1643"">For indoor use</p>
</li>
</ul>
<p>Â </p>"	Cosmo Decorpk	Furniture > Room Dividers			TRUE	Size	5 ft									6000	shopify	1	deny	manual	29000	45000	TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/D26D65CD-644E-4A6B-921D-C4E5EBAA6DA1.jpg?v=1768309073	1
handmade-wooden-folding-room-divider-3-panel																																https://cdn.shopify.com/s/files/1/0899/9301/9639/files/5A5EECFE-E2D5-4858-A875-61A9B37E97F3.jpg?v=1768309073	2
17-leaf-money-plant-3-ft-height	17-Leaf Money Plant | 3 ft height	"<h3 data-start=""80"" data-end=""109""><strong data-start=""84"" data-end=""107"">âœ¨ Product Features:</strong></h3>
<ul data-start=""110"" data-end=""646"">
<li data-start=""110"" data-end=""179"">
<p data-start=""112"" data-end=""179""><strong data-start=""112"" data-end=""141"">GRP Non-Breakable Planter</strong>Â  Strong, durable, and long-lasting</p>
</li>
<li data-start=""180"" data-end=""253"">
<p data-start=""182"" data-end=""253""><strong data-start=""182"" data-end=""203"">PVC Rubber Leaves</strong>Â  Realistic texture with a natural green finish</p>
</li>
<li data-start=""254"" data-end=""316"">
<p data-start=""256"" data-end=""316""><strong data-start=""256"" data-end=""276"">PVC Rubber Stems</strong> Flexible, sturdy, and easy to shape</p>
</li>
<li data-start=""317"" data-end=""387"">
<p data-start=""319"" data-end=""387""><strong data-start=""319"" data-end=""345"">Adjustable Arrangement</strong>Â  Customize the leaf spread as you like</p>
</li>
<li data-start=""388"" data-end=""465"">
<p data-start=""390"" data-end=""465""><strong data-start=""390"" data-end=""406"">Height: 3 ft</strong>Â  Perfect for corners, entrances, offices &amp; living rooms</p>
</li>
<li data-start=""466"" data-end=""520"">
<p data-start=""468"" data-end=""520""><strong data-start=""468"" data-end=""486"">Color Options:</strong> <strong data-start=""487"" data-end=""496"">Black</strong> and <strong data-start=""501"" data-end=""510"">White</strong> planter</p>
</li>
</ul>"	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Non-Flowering Plants			TRUE	Color	black	product.metafields.shopify.color-pattern								3000	shopify	27	deny	manual	2500		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/ChatGPT_Image_Jan_24_2026_05_13_00_PM.png?v=1769257070	1
17-leaf-money-plant-3-ft-height									white									3000	shopify	24	deny	manual	2500		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/ChatGPT_Image_Jan_24_2026_05_14_04_PM.png?v=1769257070	2
17-leaf-money-plant-3-ft-height																																https://cdn.shopify.com/s/files/1/0899/9301/9639/files/IMG_2820.jpg?v=1769257070	3
17-leaf-money-plant-3-ft-height																																https://cdn.shopify.com/s/files/1/0899/9301/9639/files/ChatGPT_Image_Jan_24_2026_05_15_14_PM.png?v=1769256964	4
12-inch-long-led-twist-candles-battery-operated-flameless-candles	12 Inch Long LED Twist Candles  Battery Operated Flameless Candles		Cosmo Decorpk	Home & Garden > Decor > Flameless Candles			TRUE	Quantity	1									0	shopify	119	deny	manual	350		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image19_1.jpg?v=1763757059	1
12-inch-long-led-twist-candles-battery-operated-flameless-candles									3									0	shopify	9	deny	manual	900		TRUE	TRUE							
12-inch-long-led-twist-candles-battery-operated-flameless-candles									pack of 6									0	shopify	110	deny	manual	1700		TRUE	TRUE							
1-packet-extra-stones	1 packet extra stones		Cosmo Decorpk	Home & Garden > Decor > Vase Fillers & Table Scatters > Vase Fillers			TRUE	Color	white	product.metafields.shopify.color-pattern								3000	shopify	997	deny	manual	150		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image4_11.jpg?v=1763756858	1
1-packet-extra-stones									black									3000	shopify	499	deny	manual	150		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image3_9.jpg?v=1763756858	2
1-packet-extra-stones									gray-1									3000	shopify	500	deny	manual	150		TRUE	TRUE							
5-ft-tall-money-plant	5 ft Tall Money Plant	"<h2 data-start=""890"" data-end=""912""><strong data-start=""895"" data-end=""912"">Color Details</strong></h2>
<ul data-start=""913"" data-end=""1040"">
<li data-start=""913"" data-end=""953"">
<p data-start=""915"" data-end=""953"">Planter: <strong data-start=""924"" data-end=""953"">Matte Black with Gold Rim</strong></p>
</li>
<li data-start=""954"" data-end=""1004"">
<p data-start=""956"" data-end=""1004"">Leaves: <strong data-start=""964"" data-end=""1004"">Green with dual-tone natural veining</strong></p>
</li>
<li data-start=""1005"" data-end=""1040"">
<p data-start=""1007"" data-end=""1040"">Stones: <strong data-start=""1015"" data-end=""1040"">Neutral beige pebbles</strong></p>
</li>
</ul>
<hr data-start=""1042"" data-end=""1045"">
<h2 data-start=""1047"" data-end=""1072"">â­ <strong data-start=""1052"" data-end=""1072"">Material Details</strong>
</h2>
<ul data-start=""1073"" data-end=""1249"">
<li data-start=""1073"" data-end=""1131"">
<p data-start=""1075"" data-end=""1131"">Plant Material: <strong data-start=""1091"" data-end=""1131"">PVC Rubber (Premium washable leaves)</strong></p>
</li>
<li data-start=""1132"" data-end=""1202"">
<p data-start=""1134"" data-end=""1202"">Planter Material: <strong data-start=""1152"" data-end=""1202"">GRP (Glass Reinforced Plastic) â€“ Non-breakable</strong></p>
</li>
<li data-start=""1203"" data-end=""1249"">
<p data-start=""1205"" data-end=""1249"">Top Fill: <strong data-start=""1215"" data-end=""1249"">High-quality decorative stones</strong></p>
</li>
</ul>
<hr data-start=""1251"" data-end=""1254"">
<h2 data-start=""1256"" data-end=""1273"">â­ <strong data-start=""1261"" data-end=""1273"">Features</strong>
</h2>
<ul data-start=""1274"" data-end=""1584"">
<li data-start=""1274"" data-end=""1298"">
<p data-start=""1276"" data-end=""1298"">Total Height: <strong data-start=""1290"" data-end=""1298"">5 ft</strong></p>
</li>
<li data-start=""1299"" data-end=""1336"">
<p data-start=""1301"" data-end=""1336"">Premium quality PVC rubber leaves</p>
</li>
<li data-start=""1337"" data-end=""1380"">
<p data-start=""1339"" data-end=""1380"">Natural-looking dual-shaded money plant</p>
</li>
<li data-start=""1381"" data-end=""1423"">
<p data-start=""1383"" data-end=""1423"">GRP non-breakable, lightweight planter</p>
</li>
<li data-start=""1424"" data-end=""1460"">
<p data-start=""1426"" data-end=""1460"">Golden rim adds luxury aesthetic</p>
</li>
<li data-start=""1461"" data-end=""1512"">
<p data-start=""1463"" data-end=""1512"">Perfect for corners, halls, offices &amp; entrances</p>
</li>
<li data-start=""1513"" data-end=""1540"">
<p data-start=""1515"" data-end=""1540"">No maintenance required</p>
</li>
<li data-start=""1541"" data-end=""1584"">
<p data-start=""1543"" data-end=""1584"">Long-lasting, washable &amp; fade-resistant</p>
</li>
</ul>"	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Non-Flowering Plants			TRUE	Color	black	product.metafields.shopify.color-pattern								4000	shopify	19	deny	manual	7000		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image2_9.jpg?v=1763756573	1
5-ft-tall-money-plant									white									4000	shopify	20	deny	manual	7000		TRUE	TRUE							
